treatment,family,sizeBin,Month,Year,timeCorrBites,timeCorrBiomassBites
External,Acanthuridae,17.5,July,2013,20.51282051,2603.985616
Full,Acanthuridae,17.5,July,2013,0,0
Partial,Acanthuridae,17.5,July,2013,246.0049827,33326.69455
Control,Scaridae,17.5,July,2013,6.987274122,670.1707727
External,Scaridae,17.5,July,2013,0,0
Full,Scaridae,17.5,July,2013,0,0
Partial,Scaridae,17.5,July,2013,17.39130435,1499.515948
Control,Acanthuridae,22.5,July,2013,30.19571295,8292.089613
Full,Acanthuridae,22.5,July,2013,0,0
Partial,Acanthuridae,22.5,July,2013,85.56521739,25256.3455
Control,Scaridae,22.5,July,2013,30.27054362,6801.689162
External,Scaridae,22.5,July,2013,1.923076923,307.9064879
Full,Scaridae,22.5,July,2013,0,0
Partial,Scaridae,22.5,July,2013,4.869565218,953.5289384
Control,Acanthuridae,27.5,July,2013,20.68965517,8836.563598
Full,Acanthuridae,27.5,July,2013,0,0
Partial,Acanthuridae,27.5,July,2013,0,0
Control,Scaridae,27.5,July,2013,5.640793504,2413.09931
External,Scaridae,27.5,July,2013,2.564102564,868.0709615
Full,Scaridae,27.5,July,2013,0,0
Partial,Scaridae,27.5,July,2013,8.347826087,2532.62497
Control,Acanthuridae,32.5,July,2013,0,0
Full,Acanthuridae,32.5,July,2013,0,0
Partial,Acanthuridae,32.5,July,2013,0,0
Control,Scaridae,32.5,July,2013,7.828518174,5407.658982
External,Scaridae,32.5,July,2013,1.282051282,1066.518001
Full,Scaridae,32.5,July,2013,0,0
Partial,Scaridae,32.5,July,2013,0,0
Control,Acanthuridae,35+,July,2013,0,0
Full,Acanthuridae,35+,July,2013,0,0
Partial,Acanthuridae,35+,July,2013,0,0
Control,Scaridae,35+,July,2013,0.55917987,664.9107417
External,Scaridae,35+,July,2013,0,0
Full,Scaridae,35+,July,2013,0,0
Partial,Scaridae,35+,July,2013,0,0
Control,Acanthuridae,7.5,July,2013,128.4393886,1496.482871
Full,Acanthuridae,7.5,July,2013,43.64685054,294.1799324
Partial,Acanthuridae,7.5,July,2013,29.00650968,350.7399474
Control,Scaridae,7.5,July,2013,113.8501714,679.6581303
External,Scaridae,7.5,July,2013,48.07692308,280.0963367
Full,Scaridae,7.5,July,2013,104.6646888,906.5816829
Partial,Scaridae,7.5,July,2013,85.10359238,481.2912879
Control,Acanthuridae,12.5,September,2014,16,1087.692712
External,Acanthuridae,12.5,September,2014,16,607.9545341
Full,Acanthuridae,12.5,September,2014,0,0
Partial,Acanthuridae,12.5,September,2014,0,0
Control,Scaridae,12.5,September,2014,9,234.0453705
External,Scaridae,12.5,September,2014,7,265.7854478
Full,Scaridae,12.5,September,2014,0,0
External,Acanthuridae,17.5,September,2014,0,0
Full,Acanthuridae,17.5,September,2014,0,0
Partial,Acanthuridae,17.5,September,2014,0,0
Control,Scaridae,17.5,September,2014,0,0
External,Scaridae,17.5,September,2014,2,130.1528363
Full,Scaridae,17.5,September,2014,0,0
Partial,Scaridae,17.5,September,2014,0,0
Control,Acanthuridae,22.5,September,2014,0,0
External,Acanthuridae,22.5,September,2014,0,0
Full,Acanthuridae,22.5,September,2014,0,0
Partial,Acanthuridae,22.5,September,2014,0,0
Control,Scaridae,22.5,September,2014,0,0
External,Scaridae,22.5,September,2014,0,0
Full,Scaridae,22.5,September,2014,0,0
Partial,Scaridae,22.5,September,2014,0,0
Control,Acanthuridae,27.5,September,2014,0,0
External,Acanthuridae,27.5,September,2014,0,0
Full,Acanthuridae,27.5,September,2014,0,0
Partial,Acanthuridae,27.5,September,2014,0,0
Control,Scaridae,27.5,September,2014,0,0
External,Scaridae,27.5,September,2014,0,0
Full,Scaridae,27.5,September,2014,0,0
Partial,Scaridae,27.5,September,2014,0,0
Control,Acanthuridae,32.5,September,2014,0,0
External,Acanthuridae,32.5,September,2014,0,0
Full,Acanthuridae,32.5,September,2014,0,0
Partial,Acanthuridae,32.5,September,2014,0,0
Control,Scaridae,32.5,September,2014,0,0
External,Scaridae,32.5,September,2014,0,0
Full,Scaridae,32.5,September,2014,0,0
Partial,Scaridae,32.5,September,2014,0,0
Control,Acanthuridae,35+,September,2014,0,0
External,Acanthuridae,35+,September,2014,0,0
Full,Acanthuridae,35+,September,2014,0,0
Partial,Acanthuridae,35+,September,2014,0,0
Control,Scaridae,35+,September,2014,0,0
External,Scaridae,35+,September,2014,0,0
Full,Scaridae,35+,September,2014,0,0
Partial,Scaridae,35+,September,2014,0,0
Control,Acanthuridae,7.5,September,2014,56,497.9594261
External,Acanthuridae,7.5,September,2014,5,33.32863589
Full,Acanthuridae,7.5,September,2014,0,0
Partial,Acanthuridae,7.5,September,2014,0,0
Control,Scaridae,7.5,September,2014,29,199.7582508
External,Scaridae,7.5,September,2014,40,240.5653299
Full,Scaridae,7.5,September,2014,59.16831683,319.7004527
Partial,Scaridae,7.5,September,2014,84,768.0324525
